reviews,label
Agobiante,1
Agotador,1
Decepcionante,1
Deficiente,1
Descontento,1
desfavorable,1
Desilusi�n,1
Desilusionante,1
Desorganizado,1
Enga�oso,1
Horrible,1
Inaceptable,1
Inadecuado,1
Inc�modo,2
incompetente,1
Indeseable,1
Ineficiente,1
insatisfactorio,1
Insoportable,1
irritaci�n,1
Lamentable,1
Mal,1
malo,1
Molesto,1
negativo,1
p�simo,1
Problema,1
problem�tico,1
repugnante,1
Agradable,5
Agradecido,5
Aplaudible,5
Asombroso,5
Contento,5
Destacado,5
Encantado,5
Estupendo,5
Excelente,5
Excepcional,5
Fabuloso,5
Fant�stico,5
Feliz,5
Genial,5
Gratificante,5
Grato,5
Impresionante,5
Incre�ble,5
Maravilloso,5
Notable,5
�ptimo,5
Perfecto,5
Placentero,5
Reconfortante,5
Satisfactorio,5
Sobresaliente,5
La atencion fue rapido y el playero muy amable  me limpio los parabrisas y se ofrecio revisar aceite y agua.,3
Habia una playera y un playero corriendo para atender a todos los autos y dos surtidores no funcionaban. Ellos fueron amables  respetuosos y hasta me limpiaron el vidrio.,3
El acceso a la estacion es muy incomodo. Falta lugar de parking.,2
Respetuosa atencion y rapidez en la atencion ,5
Poco personal para toda la playa,2
El personal muy atento y paciente,5
Estuve satisfecho. Me atendieron bien y rapido,5
La atencion recibida fue muy buena. ,5
Siempre excelente.,5
Mucha espera en la atencion,1
Mala atencion,1
Limpio el lugar  rapidez y muy cordial la persona que me atendio.,5
Rápido y ágil. Atienden todos si ven q se necesita.,5
Excelente atención ,5
Cuentan con surtidores reducidos en Vpower ,3
La estación esta muy apretada...poco espacio para maniobrar,2
Buena atención… responden a mis necesidades ,5
Pesima atenci�n,1
El trato del personal es excelente y su disposicion para ayudar a los que no manejamos muy bien las redes para abonar,5
atendido rapido cordialmente,5
Trato agradable y cordial siempre,4
me hubiera gustado que me ofrezcan limpiarme los vidrios.,3
Simplemente consideré Satisfactorio toda la atención y servicios brindado.,4
estoy muy cerca  y son muy positivos,5
Excelente el trato. Como siempre  pero esta vez la verdad que la persona que me atendió fue excelente.,5
La calidad del combustible  ma muy buena atención y los servicios complementarios  en particular aire para los neumáticos sin costo adicional.,5
Hace MESES que no puedo cambiar la password de la aplicación  y las respuestas que me dieron son pésimas y completamente inútiles. Se ve que en Mkt los toman por grado de estupidez. ,1
Siempre muy bien atendido,5
atencion del personal ,5
Porque fue rápido  eficiente  y cómodo. Muy buena atención!!!,5
La mejor atención lejos !! Felicitaciones Norma!,5
Agradezco el gesto que tuvo la Compañía Shell en otorgarme un vale de descuento por no haber podido usar la app un miércoles de de descuento W Power. Gracias. Sigan así,5
Todo muy bien. El personal (femenino) a  cargo del mostrador del snack resuelve todos los inconvenientes que se puedan producir en el uso del sistema (pase de puntos  nueva tarjeta de débitio  etc.) Parecen técnicas en informática.,5
Excelente atención y servicio  los felicito.,5
Ingreso muy complicado  autos cruzados  todo fue muy lento no terminaban de irse los autos muy pocos playeros solo 2 en un momento de alta demanda en una esquina muy complicada,2
En Shell pude ver rapidamente los combos disponibles  formas de pago y hasta recibí asistencia personalizada via whatsapp. El servicio excelente como así la atención.,5
Siempre cargo en la misma estación de Cramer y Hernandez  y también toda mi familia. Son todos muy amables y el combustible para mi es el mejor. ,5
Por la cordialidad y atención del personal.  ,5
La app no funciona. Me ha pasado más de una vez. Por lo tanto es publicidad engañosa.,1
El negocio tiene los productos imprescindibles. Abierto las 24 h Lugar tranquilo  seguro  limpio y confortable,5
Muy buena la atencion del playero y calidad de sus productos,5
Nunca cargo otra marca que no sea Shell y casi siempre en la misma estación de servicio!Una crítica: por que sólo hay descuento con VPower y no hay descuentos  más en estos momentos  con nafta Súper?,4
Siempre voy porque siempre me atendieron bien,5
Algunas veces se demora y otras no. No dicen nada a darte el ticket. Le cargamos los puntos sr. Solo gracias a Dios te dan el ticket ,3
Muy buena calidad de los productos ofrecidos  tanto en combustible y de la tienda,5
Atencion rapidez y servicio excelentes,5
Nafta y atencion muy buena. Complicacion con shell box cuya tarjeta funciono los primeros 3 meses y despues nunca mas.,3
me atendieron a tiempo  muy amable la persona que me realizo el servicio del auto. Impecable,5
Tuve suerte  había muy poca gente  me atendieron enseguida y muy bien. La App Shell Box funcionó perfecto,5
La persona que me atendió  ha sido muy atento en explicarme en el uso de la aplicación para abonar la carga de combustible.,5
Todo OK. ,5
Amabilidad de la persona que me atendió. Ofrecimiento de servvicios. Limpieza del lugar.,5
Muy buena atención de los playeros,5
Amabilidad de la playera. Consulte por el servicio de cambio de aceite y filtro y me asesoro en todo  ya saque el turno del servicio por este motivo y último pero no menor la calidad de nafta siempre excelente,5
Soy cliente de shell por la calidad de los productos y servicios de la compañia,5
Estuve satisfecho  esta bien ,4
la atención brindada por parte del personal es muy buena. ,5
Todo ok,5
Gente cordial.Buena atención.Rapidez. ,5
Excelente el servicio brindando.,5
Organización Activo Ordenado,5
Muy buena atención y amabilidad.,5
Muy bien atendido por el empleado servicial 10 puntos,5
Siempre hay mejoras que se pueden realizar. El personal fue amable ofrecer pagar con la aplicación,4
La aplicación funciono muy bien.,5
El servicio fue muy bueno. Los productos tambien. El lugar limpio,5
Intenté 2 veces pagar con la app y débito del Banco. Las 2 veces dio error. Terminé pagando fuera de la app con la misma tarjeta que la app había rechazado.Perdí los descuentos de la app y del banco  estoy muy enojado.,1
la calidad del combustible: Excelente * la atención en todas las estaciones de servicio: hasta ahora  de 10 en todas  hay estaciones en todos lados  siempre hay una Shell de camino Gracias,5
Aprovecho los miércoles 10% app  y queda en mi ruta habitual. Cordialidad en la atención.,5
Excelente el trato y la paciencia del playero.,5
Ok ,5
Me atendieron eficientemente y de manera amable.,5
Hasta ahora nunca tuve inconvenientes.Atienden muy bien.Las instalaciones están bien.,5
